CustomerID,Recency,Frequency,Monetary,TenureDays
12346.0,341,2,5342.4,0
12347.0,7,7,431501.0,365
12348.0,98,4,82378.47,274
12349.0,37,1,176075.12,0
12350.0,310,1,48173.37,0
12352.0,37,11,241567.46,273
12353.0,221,1,4357.89,0
12354.0,251,1,161522.49,0
12355.0,221,1,37648.28,0
12356.0,37,3,161617.98,304
12357.0,37,1,366359.4,0
12358.0,7,2,39673.670000000006,153
12359.0,7,6,672864.29,334
12360.0,68,3,306242.38,153
12361.0,310,1,30437.8,0
12362.0,7,13,688511.11,303
12363.0,129,2,53756.56,122
12364.0,7,4,215049.54,122
12365.0,310,3,59638.3,0
12367.0,7,1,25839.440000000002,0
12370.0,68,4,417753.03,304
12371.0,68,2,167307.32,0
12372.0,98,3,115169.81,212
12373.0,310,1,28312.37,0
12374.0,37,1,66577.75,0
12375.0,7,3,36360.4,91
12377.0,341,2,164885.7,31
12378.0,129,1,604145.45,0
12379.0,98,3,105708.76000000001,92
12380.0,37,5,283392.46,153
12381.0,7,6,206368.76,122
12383.0,190,6,222610.77,182
12384.0,37,3,66557.46,92
12386.0,341,2,28316.56,31
12388.0,37,6,252667.99,304
12390.0,98,1,66785.3,0
12391.0,37,1,253598.89,0
12393.0,98,4,178735.91,243
12394.0,68,2,60148.57,153
12395.0,37,15,427347.96,335
12397.0,37,2,278068.09,123
12398.0,68,1,204266.06,0
12399.0,129,4,158016.72,153
12401.0,310,1,17283.4,0
12402.0,341,1,36552.16,0
12403.0,68,2,13749.32,0
12405.0,160,1,122187.79000000001,0
12406.0,37,3,310029.79,153
12407.0,68,5,186352.68,214
12408.0,37,9,253373.33000000002,245
12409.0,98,7,324698.54,92
12410.0,310,3,61744.66,0
12412.0,98,3,159888.55000000002,92
12413.0,68,5,109854.74,273
12414.0,221,3,55774.39,89
12415.0,37,26,1944187.0,304
12417.0,7,12,532728.74,365
12418.0,129,1,108728.73,0
12420.0,68,1,60791.87,0
12421.0,37,5,120314.6,304
12422.0,98,3,89740.0,243
12423.0,7,9,299025.94,365
12424.0,190,2,66385.45,0
12425.0,98,1,101635.55,0
12426.0,221,1,64423.78,0
12427.0,37,5,105999.6,335
12428.0,37,12,780310.63,245
12429.0,37,4,219920.34,335
12430.0,68,1,13697.39,0
12431.0,37,18,541433.7,335
12432.0,68,5,306154.57,122
12433.0,7,7,1041010.62,365
12434.0,98,4,152672.79,274
12435.0,98,2,101148.54,184
12436.0,98,1,37832.96,0
